"scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","project_pi","project_pi_contact","access","id"
"Myrsine coriacea","whole plant growth form","tree",NA,NA,-34.089,-53.788,NA,NA,"Mauricio Bonifacino",NA,"public",1918450
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-5.778,-51.003,NA,NA,"James S. MIller",NA,"public",1919269
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-11.85,-71.3167,NA,NA,"James S. MIller",NA,"public",1919302
"Guapira opposita","whole plant growth form","tree",NA,NA,-14.7111,-61.1542,NA,NA,"Tim Killeen",NA,"public",1919868
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-14.5608,-60.7486,NA,NA,"Tim Killeen",NA,"public",1920065
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-14.5608,-60.7486,NA,NA,"Tim Killeen",NA,"public",1920066
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.49,-69.11,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1920396
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.49,-69.11,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1920397
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.49,-69.11,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1920403
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.49,-69.11,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1920404
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-10.245,-75.213,NA,NA,"James S. MIller",NA,"public",1921098
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-10.245,-75.213,NA,NA,"James S. MIller",NA,"public",1921099
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-10.245,-75.213,NA,NA,"James S. MIller",NA,"public",1921100
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-3.78333,-73.5,NA,NA,"James S. MIller",NA,"public",1921373
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-3.78333,-73.5,NA,NA,"James S. MIller",NA,"public",1921374
"Myrsine coriacea","whole plant growth form","tree",NA,NA,-34.076,-53.755,NA,NA,"Mauricio Bonifacino",NA,"public",1922068
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.4814,-68.7611,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1923383
"Ficus luschnathiana","whole plant growth form","tree",NA,NA,-34.076,-53.755,NA,NA,"Mauricio Bonifacino",NA,"public",1923965
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-3.43333,-72.85,NA,NA,"James S. MIller",NA,"public",1925130
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.4334,-68.8019,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1925240
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-14.3489,-61.1608,NA,NA,"Tim Killeen",NA,"public",1925369
"Ficus luschnathiana","whole plant growth form","tree",NA,NA,-34.089,-53.788,NA,NA,"Mauricio Bonifacino",NA,"public",1925869
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-3.26164,-72.8997,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1925993
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-3.26164,-72.8997,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1925994
"Myrsine umbellata","whole plant growth form","tree",NA,NA,-24.136,-47.864,NA,NA,"James S. MIller",NA,"public",1926656
"Myrsine umbellata","whole plant growth form","tree",NA,NA,-24.136,-47.864,NA,NA,"James S. MIller",NA,"public",1926657
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-8.83333,-75,NA,NA,"James S. MIller",NA,"public",1926709
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-24.1333,-55.5333,NA,NA,"James S. MIller",NA,"public",1926738
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-24.1333,-55.5333,NA,NA,"James S. MIller",NA,"public",1926739
"Myrsine coriacea","whole plant growth form","tree",NA,NA,-16.3,-67.8,NA,NA,"James S. MIller",NA,"public",1926848
"Myrsine coriacea","whole plant growth form","tree",NA,NA,-15.9167,-67.5833,NA,NA,"James S. MIller",NA,"public",1928589
"Myrsine coriacea","whole plant growth form","tree",NA,NA,-16.3,-67.8,NA,NA,"James S. MIller",NA,"public",1928681
"Myrsine coriacea","whole plant growth form","tree",NA,NA,-16.3,-67.8,NA,NA,"James S. MIller",NA,"public",1928683
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.5049,-68.7505,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1928882
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.4961,-69.2226,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1928914
"Endlicheria paniculata","whole plant growth form","tree",NA,NA,-13.6428,-60.8919,NA,NA,"Tim Killeen",NA,"public",1929029
"Endlicheria paniculata","whole plant growth form","tree",NA,NA,-13.6428,-60.8919,NA,NA,"Tim Killeen",NA,"public",1929030
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.5833,-69.15,NA,NA,"James S. MIller",NA,"public",1930289
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.5833,-69.15,NA,NA,"James S. MIller",NA,"public",1930290
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-8.83333,-75,NA,NA,"James S. MIller",NA,"public",1930322
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.4286,-69.2751,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1930588
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.5049,-68.7505,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1930666
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.4814,-68.7611,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1930677
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.5373,-69.3863,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1930716
"Myrsine coriacea","whole plant growth form","tree",NA,NA,-34.089,-53.788,NA,NA,"Mauricio Bonifacino",NA,"public",1931274
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-3.26164,-72.8997,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1931380
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-3.26164,-72.8997,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1931381
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-10.245,-75.213,NA,NA,"James S. MIller",NA,"public",1932056
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-10.245,-75.213,NA,NA,"James S. MIller",NA,"public",1932057
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-24.1333,-55.5333,NA,NA,"James S. MIller",NA,"public",1932184
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-24.1333,-55.5333,NA,NA,"James S. MIller",NA,"public",1932185
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.4464,-68.8127,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1932484
"Myrsine coriacea","whole plant growth form","tree",NA,NA,-34.076,-53.755,NA,NA,"Mauricio Bonifacino",NA,"public",1933055
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-3.26164,-72.8997,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1933199
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-3.26164,-72.8997,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1933200
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.4286,-69.2751,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1934243
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-15.25,-67,NA,NA,"Tim Killeen",NA,"public",1934860
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-15.25,-67,NA,NA,"Tim Killeen",NA,"public",1934861
"Ficus luschnathiana","whole plant growth form","tree",NA,NA,-34.089,-53.788,NA,NA,"Mauricio Bonifacino",NA,"public",1934922
"Endlicheria paniculata","whole plant growth form","tree",NA,NA,-24.1333,-55.5333,NA,NA,"James S. MIller",NA,"public",1935773
"Endlicheria paniculata","whole plant growth form","tree",NA,NA,-24.1333,-55.5333,NA,NA,"James S. MIller",NA,"public",1935774
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.4286,-69.2751,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1936040
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.6777,-69.1814,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1936068
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-14.5608,-60.7486,NA,NA,"Tim Killeen",NA,"public",1936448
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-14.5608,-60.7486,NA,NA,"Tim Killeen",NA,"public",1936449
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-10.245,-75.213,NA,NA,"James S. MIller",NA,"public",1937454
"Endlicheria paniculata","whole plant growth form","tree",NA,NA,-24.1333,-55.5333,NA,NA,"James S. MIller",NA,"public",1937581
"Endlicheria paniculata","whole plant growth form","tree",NA,NA,-24.1333,-55.5333,NA,NA,"James S. MIller",NA,"public",1937582
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.4334,-68.8019,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1937918
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.4845,-69.2003,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1937970
"Ficus luschnathiana","whole plant growth form","tree",NA,NA,-34.086,-53.768,NA,NA,"Mauricio Bonifacino",NA,"public",1938557
"Myrsine coriacea","whole plant growth form","tree",NA,NA,-34.076,-53.755,NA,NA,"Mauricio Bonifacino",NA,"public",1938568
"Myrsine coriacea","whole plant growth form","tree",NA,NA,-34.076,-53.755,NA,NA,"Mauricio Bonifacino",NA,"public",1938569
"Ficus luschnathiana","whole plant growth form","tree",NA,NA,-34.089,-53.788,NA,NA,"Mauricio Bonifacino",NA,"public",1938575
"Ficus luschnathiana","whole plant growth form","tree",NA,NA,-34.089,-53.788,NA,NA,"Mauricio Bonifacino",NA,"public",1938580
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.49,-69.11,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1938649
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.49,-69.11,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1938650
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.4961,-69.2226,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1939986
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.4959,-69.3706,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1939996
"Endlicheria paniculata","whole plant growth form","tree",NA,NA,-13.6428,-60.8919,NA,NA,"Tim Killeen",NA,"public",1940097
"Endlicheria paniculata","whole plant growth form","tree",NA,NA,-13.6428,-60.8919,NA,NA,"Tim Killeen",NA,"public",1940098
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-3.25088,-72.8916,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1940664
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-3.25088,-72.8916,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1940665
"Myrsine coriacea","whole plant growth form","tree",NA,NA,-34.089,-53.788,NA,NA,"Mauricio Bonifacino",NA,"public",1942438
"Psychotria suterella","whole plant growth form","tree",NA,NA,-24.136,-47.864,NA,NA,"James S. MIller",NA,"public",1943247
"Psychotria suterella","whole plant growth form","tree",NA,NA,-24.136,-47.864,NA,NA,"James S. MIller",NA,"public",1943248
"Psychotria suterella","whole plant growth form","tree",NA,NA,-24.136,-47.864,NA,NA,"James S. MIller",NA,"public",1943249
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.4286,-69.2751,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1943595
"Guapira opposita","whole plant growth form","tree",NA,NA,-13.8858,-60.0667,NA,NA,"Tim Killeen",NA,"public",1943854
"Guapira opposita","whole plant growth form","tree",NA,NA,-13.8858,-60.0667,NA,NA,"Tim Killeen",NA,"public",1943880
"Guapira opposita","whole plant growth form","tree",NA,NA,-13.8858,-60.0667,NA,NA,"Tim Killeen",NA,"public",1943881
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-13.8858,-60.0667,NA,NA,"Tim Killeen",NA,"public",1943907
"Myrsine coriacea","whole plant growth form","tree",NA,NA,-34.076,-53.755,NA,NA,"Mauricio Bonifacino",NA,"public",1944330
"Myrsine coriacea","whole plant growth form","tree",NA,NA,-34.089,-53.788,NA,NA,"Mauricio Bonifacino",NA,"public",1944332
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-1.06667,-77.6,NA,NA,"James S. MIller",NA,"public",1945218
"Endlicheria paniculata","whole plant growth form","tree",NA,NA,-24.1333,-55.5333,NA,NA,"James S. MIller",NA,"public",1945225
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-24.1333,-55.5333,NA,NA,"James S. MIller",NA,"public",1945226
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-24.1333,-55.5333,NA,NA,"James S. MIller",NA,"public",1945227
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-24.1333,-55.5333,NA,NA,"James S. MIller",NA,"public",1945228
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.4286,-69.2751,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1945451
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-14.7111,-61.1542,NA,NA,"Tim Killeen",NA,"public",1945687
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-14.9167,-67.0833,NA,NA,"Tim Killeen",NA,"public",1946080
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-14.9167,-67.0833,NA,NA,"Tim Killeen",NA,"public",1946081
"Ficus luschnathiana","whole plant growth form","tree",NA,NA,-34.089,-53.788,NA,NA,"Mauricio Bonifacino",NA,"public",1946126
"Psychotria suterella","whole plant growth form","tree",NA,NA,-23.581,-46.07,NA,NA,"James S. MIller",NA,"public",1946921
"Psychotria suterella","whole plant growth form","tree",NA,NA,-23.581,-46.07,NA,NA,"James S. MIller",NA,"public",1946922
"Myrsine coriacea","whole plant growth form","tree",NA,NA,-6.473,-79.045,NA,NA,"James S. MIller",NA,"public",1947056
"Myrsine coriacea","whole plant growth form","tree",NA,NA,-6.473,-79.045,NA,NA,"James S. MIller",NA,"public",1947057
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.4334,-68.8019,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1947380
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.4599,-68.8051,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1947384
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.4778,-69.2043,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1947429
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.6202,-69.5685,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1947461
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.5,-68.95,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1948031
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.5,-68.95,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1948032
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.5,-68.95,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1948044
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.5,-68.95,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1948045
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-11.85,-71.3167,NA,NA,"James S. MIller",NA,"public",1948982
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-11.85,-71.3167,NA,NA,"James S. MIller",NA,"public",1948983
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-4.91667,-73.75,NA,NA,"James S. MIller",NA,"public",1949053
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.4895,-68.7616,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1949354
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-14.7111,-61.1542,NA,NA,"Tim Killeen",NA,"public",1949524
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-14.7111,-61.1542,NA,NA,"Tim Killeen",NA,"public",1949525
"Myrsine coriacea","whole plant growth form","tree",NA,NA,-34.089,-53.788,NA,NA,"Mauricio Bonifacino",NA,"public",1949888
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.49,-69.11,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1949962
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.49,-69.11,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1949963
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-10.245,-75.213,NA,NA,"James S. MIller",NA,"public",1950615
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-11.85,-71.3167,NA,NA,"James S. MIller",NA,"public",1950693
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.5998,-69.0149,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1951036
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.4334,-68.8019,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1951058
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.5049,-68.7505,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1951070
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-14.7111,-61.1542,NA,NA,"Tim Killeen",NA,"public",1951221
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.85,-69.28,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1951734
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.85,-69.28,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1951735
"Myrsine coriacea","whole plant growth form","tree",NA,NA,-23.581,-46.07,NA,NA,"James S. MIller",NA,"public",1952437
"Cyathea phalerata","whole plant growth form","tree",NA,NA,-24.136,-47.864,NA,NA,"James S. MIller",NA,"public",1952466
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.4286,-69.2751,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1952881
"Myrsine umbellata","whole plant growth form","tree",NA,NA,-14.5608,-60.7486,NA,NA,"Tim Killeen",NA,"public",1953285
"Myrsine umbellata","whole plant growth form","tree",NA,NA,-14.5608,-60.7486,NA,NA,"Tim Killeen",NA,"public",1953286
"Myrsine coriacea","whole plant growth form","tree",NA,NA,-34.076,-53.755,NA,NA,"Mauricio Bonifacino",NA,"public",1955395
"Myrsine coriacea","whole plant growth form","tree",NA,NA,-34.089,-53.788,NA,NA,"Mauricio Bonifacino",NA,"public",1955396
"Myrsine coriacea","whole plant growth form","tree",NA,NA,-34.089,-53.788,NA,NA,"Mauricio Bonifacino",NA,"public",1955401
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.5373,-69.3863,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1956630
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.3459,-69.2546,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1956649
"Myrsine coriacea","whole plant growth form","tree",NA,NA,-34.089,-53.788,NA,NA,"Mauricio Bonifacino",NA,"public",1957169
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.8188,-69.3505,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1958408
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.4286,-69.2751,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1960126
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.4464,-68.8127,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1960215
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.4996,-69.4187,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1960261
"Myrsine coriacea","whole plant growth form","tree",NA,NA,-34.089,-53.788,NA,NA,"Mauricio Bonifacino",NA,"public",1960817
"Myrsine coriacea","whole plant growth form","tree",NA,NA,-34.089,-53.788,NA,NA,"Mauricio Bonifacino",NA,"public",1960862
"Dalbergia frutescens","whole plant growth form","liana",NA,NA,-0.416667,-72.3333,NA,NA,"James S. MIller",NA,"public",1961501
"Myrsine umbellata","whole plant growth form","tree",NA,NA,-24.136,-47.864,NA,NA,"James S. MIller",NA,"public",1961569
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-13.35,-69.6667,NA,NA,"James S. MIller",NA,"public",1961780
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.4286,-69.2751,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1961910
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.5048,-68.7776,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1961992
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.4961,-69.2226,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1962055
"Myrsine coriacea","whole plant growth form","tree",NA,NA,-34.089,-53.788,NA,NA,"Mauricio Bonifacino",NA,"public",1962573
"Myrsine coriacea","whole plant growth form","tree",NA,NA,-34.087,-53.75,NA,NA,"Mauricio Bonifacino",NA,"public",1962590
"Myrsine coriacea","whole plant growth form","tree",NA,NA,-34.076,-53.755,NA,NA,"Mauricio Bonifacino",NA,"public",1962592
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-3.26164,-72.8997,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1962711
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-3.26164,-72.8997,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1962712
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.4847,-69.2148,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1963879
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-14.7111,-61.1542,NA,NA,"Tim Killeen",NA,"public",1964019
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-14.7111,-61.1542,NA,NA,"Tim Killeen",NA,"public",1964020
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-10.245,-75.213,NA,NA,"James S. MIller",NA,"public",1965163
"Psychotria suterella","whole plant growth form","tree",NA,NA,-24.136,-47.864,NA,NA,"James S. MIller",NA,"public",1965198
"Psychotria suterella","whole plant growth form","tree",NA,NA,-24.136,-47.864,NA,NA,"James S. MIller",NA,"public",1965199
"Psychotria suterella","whole plant growth form","tree",NA,NA,-24.136,-47.864,NA,NA,"James S. MIller",NA,"public",1965200
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-11.85,-71.3167,NA,NA,"James S. MIller",NA,"public",1965218
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-11.85,-71.3167,NA,NA,"James S. MIller",NA,"public",1965219
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-11.85,-71.3167,NA,NA,"James S. MIller",NA,"public",1965220
"Cupania vernalis","whole plant growth form","tree",NA,NA,-27,-58,NA,NA,"James S. MIller",NA,"public",1965440
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.4297,-69.2908,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1965590
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.4961,-69.2226,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1965699
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.3299,-69.2712,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1965730
"Ficus luschnathiana","whole plant growth form","tree",NA,NA,-34.086,-53.768,NA,NA,"Mauricio Bonifacino",NA,"public",1966205
"Myrsine coriacea","whole plant growth form","tree",NA,NA,-34.087,-53.75,NA,NA,"Mauricio Bonifacino",NA,"public",1966266
"Myrsine coriacea","whole plant growth form","tree",NA,NA,-34.087,-53.75,NA,NA,"Mauricio Bonifacino",NA,"public",1966265
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-8.83333,-75,NA,NA,"James S. MIller",NA,"public",1967033
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.4778,-69.2043,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1967399
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.4845,-69.2003,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1967413
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-3.78333,-73.5,NA,NA,"James S. MIller",NA,"public",1970702
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.4286,-69.2751,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1970864
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.4334,-68.8019,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1970948
"Endlicheria paniculata","whole plant growth form","tree",NA,NA,-13.6428,-60.8919,NA,NA,"Tim Killeen",NA,"public",1971137
"Endlicheria paniculata","whole plant growth form","tree",NA,NA,-13.6428,-60.8919,NA,NA,"Tim Killeen",NA,"public",1971138
"Psychotria suterella","whole plant growth form","tree",NA,NA,-24.136,-47.864,NA,NA,"James S. MIller",NA,"public",1972234
"Psychotria suterella","whole plant growth form","tree",NA,NA,-24.136,-47.864,NA,NA,"James S. MIller",NA,"public",1972235
"Psychotria suterella","whole plant growth form","tree",NA,NA,-24.136,-47.864,NA,NA,"James S. MIller",NA,"public",1972236
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-3.43333,-72.85,NA,NA,"James S. MIller",NA,"public",1972597
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.5,-68.95,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1973332
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.5,-68.95,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1973333
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-3.26164,-72.8997,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1973393
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-3.26164,-72.8997,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1973394
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.5833,-69.15,NA,NA,"James S. MIller",NA,"public",1974128
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-3.43333,-72.85,NA,NA,"James S. MIller",NA,"public",1974376
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.4814,-68.7611,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1974543
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-14.7111,-61.1542,NA,NA,"Tim Killeen",NA,"public",1974674
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-14.5608,-60.7486,NA,NA,"Tim Killeen",NA,"public",1974868
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-14.5608,-60.7486,NA,NA,"Tim Killeen",NA,"public",1974869
"Myrsine coriacea","whole plant growth form","tree",NA,NA,-34.089,-53.788,NA,NA,"Mauricio Bonifacino",NA,"public",1975106
